run;sessions;mode;throughput;target;llc-loads;llc-load-misses;llc-store;llc-store-misses;user;system;softirq;verified
0;1;af_xdp-bp;5.76;2700;6076188;233367;689598;23976;57.7;42.3;0.0;True
0;10;af_xdp-bp;5.65;2650;5988318;201954;685086;25727;58.5;41.5;0.0;True
0;100;af_xdp-bp;5.65;2650;5999584;228875;676802;13198;58.1;41.9;0.0;True
0;1000;af_xdp-bp;5.44;2550;6275224;285851;641349;25369;59.4;40.6;0.0;True
0;10000;af_xdp-bp;5.01;2350;15597937;439068;608696;22485;64.2;35.8;0.0;True
0;100000;af_xdp-bp;4.27;2000;18122583;1616165;605424;20926;68.8;31.2;0.0;True
0;1000000;af_xdp-bp;2.35;1100;12867670;7209862;536031;14417;84.2;15.8;0.0;True
1;1;af_xdp-bp;5.76;2700;6063875;208383;687490;16747;58.4;41.6;0.0;True
1;10;af_xdp-bp;5.76;2700;6062722;245473;687299;22155;56.66;43.34;0.0;True
1;100;af_xdp-bp;5.65;2650;5961706;259904;670993;17514;58.34;41.66;0.0;True
1;1000;af_xdp-bp;5.44;2550;6191245;291167;643624;24370;59.7;40.3;0.0;True
1;10000;af_xdp-bp;5.01;2350;16033911;543017;613976;24872;63.64;36.36;0.0;True
1;100000;af_xdp-bp;4.27;2000;17993922;1698837;689515;17369;69.7;30.3;0.0;True
1;1000000;af_xdp-bp;2.24;1050;12265217;6772497;626792;10274;83.28;16.72;0.0;True
2;1;af_xdp-bp;5.76;2700;6066903;218945;680436;29060;56.6;43.4;0.0;True
2;10;af_xdp-bp;5.76;2700;6073588;224088;685148;22451;57.36;42.64;0.0;True
2;100;af_xdp-bp;5.55;2600;5901776;214430;665252;22213;57.6;42.4;0.0;True
2;1000;af_xdp-bp;5.44;2550;6211648;285053;633387;26856;59.4;40.6;0.0;True
2;10000;af_xdp-bp;5.01;2350;15702552;451488;650107;24097;63.3;36.7;0.0;True
2;100000;af_xdp-bp;4.37;2050;18500918;1698206;614291;21532;70.13;29.87;0.0;True
2;1000000;af_xdp-bp;2.35;1100;12956818;7251978;462441;14290;84.2;15.8;0.0;True
3;1;af_xdp-bp;5.76;2700;6092291;210169;678469;25407;57.16;42.84;0.0;True
3;10;af_xdp-bp;5.65;2650;5996420;201446;674482;28628;58.2;41.8;0.0;True
3;100;af_xdp-bp;5.55;2600;5896248;203628;653888;27196;58.44;41.56;0.0;True
3;1000;af_xdp-bp;5.44;2550;6223395;296848;640412;22968;58.64;41.36;0.0;True
3;10000;af_xdp-bp;5.01;2350;15664098;472274;622949;27527;63.16;36.84;0.0;True
3;100000;af_xdp-bp;4.27;2000;18132882;1619765;626049;20759;68.2;31.8;0.0;True
3;1000000;af_xdp-bp;2.35;1100;12961146;7428512;547912;16034;83.0;17.0;0.0;True
4;1;af_xdp-bp;5.76;2700;6056277;232447;688581;20492;56.26;43.74;0.0;True
4;10;af_xdp-bp;5.76;2700;6070685;250511;695236;26652;58.76;41.24;0.0;True
4;100;af_xdp-bp;5.65;2650;5965996;259070;674504;19280;58.54;41.46;0.0;True
4;1000;af_xdp-bp;5.44;2550;6212191;312039;650211;21894;58.8;41.2;0.0;True
4;10000;af_xdp-bp;5.01;2350;15573589;478761;613890;22874;62.6;37.4;0.0;True
4;100000;af_xdp-bp;4.27;2000;17944976;1681525;574529;21689;68.5;31.5;0.0;True
4;1000000;af_xdp-bp;2.35;1100;12831288;7232008;414751;13653;83.5;16.5;0.0;True
